ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
10466778,1/1/2014 0:00,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,321,3.0,20.0,,
13002591,1/1/2014 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,834,8.0,18.0,,
11123236,1/1/2014 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,DAY CARE CENTER,False,False,532,5.0,9.0,,
13003433,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,931,9.0,20.0,,
11118358,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,823,8.0,15.0,,
10196111,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,513,5.0,34.0,41.69803127,-87.62489082
12359442,1/1/2014 0:00,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,2512,25.0,30.0,,
10287560,1/1/2014 0:00,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,1834,18.0,42.0,41.88952256,-87.61703863
12158818,1/1/2014 0:00,SEX OFFENSE,SEXUAL RELATIONS IN FAMILY,RESIDENCE,False,True,1124,11.0,27.0,,
11835107,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,1832,18.0,2.0,,
10998302,1/1/2014 0:00,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,False,True,2531,25.0,29.0,,
11406110,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,512,5.0,9.0,,
11729541,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,1914,19.0,46.0,,
11403889,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,True,811,8.0,23.0,,
11469257,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1523,15.0,28.0,,
12197933,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,2534,25.0,37.0,,
10222575,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,421,4.0,7.0,41.7544623,-87.56628801
11603222,1/1/2014 0:00,ASSAULT,SIMPLE,RESIDENCE,False,True,622,6.0,21.0,,
11148204,1/1/2014 0:00,DECEPTIVE PRACTICE,FORGERY,OTHER,False,False,131,1.0,3.0,,
10637246,1/1/2014 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,1711,17.0,39.0,,
10747636,1/1/2014 0:00,CRIMINAL SEXUAL ASSAULT,PREDATORY,APARTMENT,False,True,915,9.0,11.0,,
10466568,1/1/2014 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,512,5.0,9.0,,
11025331,1/1/2014 0:00,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,True,822,8.0,14.0,,
10301876,1/1/2014 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,822,8.0,14.0,41.78907406,-87.70465256
10665759,1/1/2014 0:00,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,False,False,624,6.0,8.0,,
10553459,1/1/2014 0:00,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,APARTMENT,False,False,2424,24.0,49.0,,
11885005,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,True,812,8.0,13.0,,
10409138,1/1/2014 0:00,SEX OFFENSE,INDECENT SOLICITATION/CHILD,APARTMENT,False,False,334,3.0,7.0,,
10408046,1/1/2014 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,False,813,8.0,13.0,,
10499579,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1011,10.0,24.0,,
12126679,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,2234,22.0,34.0,,
10302704,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,True,1513,15.0,29.0,41.88123863,-87.76654023
10218900,1/1/2014 0:00,PROSTITUTION,PIMPING,RESIDENCE,True,True,1213,12.0,1.0,41.90121718,-87.66743415
10778567,1/1/2014 0:00,SEX OFFENSE,OTHER,APARTMENT,False,False,414,4.0,8.0,,
11967245,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,225,2.0,3.0,,
12594723,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,OTHER (SPECIFY),False,True,232,2.0,20.0,,
10632432,1/1/2014 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,823,8.0,16.0,,
12357943,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,APARTMENT,False,True,1023,10.0,28.0,,
11251757,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,1032,10.0,22.0,,
10305018,1/1/2014 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,824,8.0,16.0,41.78569524,-87.68625674
12304342,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,True,2511,25.0,36.0,,
10802279,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,1134,11.0,28.0,,
10836025,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1011,10.0,24.0,,
10439746,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,True,511,5.0,8.0,,
10863871,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1532,15.0,28.0,,
12217163,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,2535,25.0,26.0,,
10469794,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,222,2.0,4.0,,
10732536,1/1/2014 0:00,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,False,523,5.0,9.0,,
10778365,1/1/2014 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,2424,24.0,49.0,,
10396974,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,834,8.0,18.0,,
12098423,1/1/2014 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,212,2.0,3.0,,
12656269,1/1/2014 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,1223,12.0,27.0,,
