ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
7712600,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2424,24.0,49.0,,
8206017,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,331,3.0,5.0,,
7086393,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1312,12.0,32.0,41.89681565,-87.67796643
10409118,1/1/2009 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,APARTMENT,False,False,424,4.0,10.0,,
8550639,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,True,True,1222,12.0,25.0,,
10426681,1/1/2009 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,True,932,9.0,16.0,,
9834799,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,APARTMENT,False,True,1023,10.0,28.0,,
11047604,1/1/2009 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,133,1.0,3.0,,
10315519,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,1911,19.0,47.0,,
10298112,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,False,933,9.0,3.0,,
12262803,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,APARTMENT,False,True,1423,14.0,1.0,,
7980808,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,212,2.0,4.0,,
11030960,1/1/2009 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,True,False,621,6.0,21.0,,
7695945,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,213,2.0,4.0,,
7754422,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,1511,15.0,29.0,,
11778791,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,True,1621,16.0,39.0,,
7700848,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,814,8.0,23.0,,
8358511,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,212,2.0,4.0,,
8081298,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,735,7.0,17.0,,
7706655,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,True,1021,10.0,24.0,,
9154088,1/1/2009 0:00,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,614,6.0,18.0,,
6864298,1/1/2009 0:00,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,False,False,823,8.0,15.0,41.78013112,-87.69829442
11010305,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,2223,22.0,21.0,,
12523049,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,RESIDENCE,False,True,1031,10.0,22.0,,
7734598,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,331,3.0,5.0,,
9341015,1/1/2009 0:00,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,BANK,False,False,824,8.0,16.0,,
8023702,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,True,511,5.0,9.0,,
9967956,1/1/2009 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1723,17.0,33.0,,
10145496,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,True,2522,25.0,31.0,,
8633958,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,APARTMENT,False,False,1021,10.0,24.0,,
9510303,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,1011,10.0,24.0,,
8489955,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,1412,14.0,35.0,,
9137475,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,333,3.0,5.0,,
10428441,1/1/2009 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,True,False,2512,25.0,29.0,,
9512374,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1412,14.0,35.0,,
9407059,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,912,9.0,11.0,,
7934602,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,1523,15.0,28.0,,
7835233,1/1/2009 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,True,True,1634,16.0,38.0,,
12144044,1/1/2009 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,923,9.0,14.0,,
11285056,1/1/2009 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1511,15.0,29.0,,
8952761,1/1/2009 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,822,8.0,14.0,,
8119579,1/1/2009 0:00,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,False,922,9.0,11.0,,
10456424,1/1/2009 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,834,8.0,18.0,,
9544164,1/1/2009 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,711,7.0,20.0,,
11738821,1/1/2009 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,1611,16.0,41.0,,
