ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
5649664,1/1/2005 0:00,THEFT,AGG: FINANCIAL ID THEFT,STREET,False,False,423,4.0,7.0,,
7233604,1/1/2005 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,323,3.0,6.0,,
7215198,1/1/2005 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,False,1022,10.0,24.0,,
7241949,1/1/2005 0:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,511,5.0,6.0,,
4092814,1/1/2005 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,False,True,323,3.0,6.0,41.76315942,-87.61037092
10362868,1/1/2005 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,733,7.0,17.0,,
5292183,1/1/2005 0:00,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,True,False,1125,11.0,2.0,,
6071322,1/1/2005 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1522,15.0,29.0,,
10193130,1/1/2005 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,225,2.0,3.0,,
10381110,1/1/2005 0:00,SEX OFFENSE,INDECENT SOLICITATION/CHILD,RESIDENCE,False,False,1531,15.0,37.0,,
5139768,1/1/2005 0:00,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,True,True,1014,10.0,24.0,,
6969972,1/1/2005 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,1724,17.0,33.0,,
6884422,1/1/2005 0:00,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,2532,25.0,37.0,,
9857664,1/1/2005 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,821,8.0,14.0,,
5220219,1/1/2005 0:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,False,False,1411,14.0,35.0,,
5727969,1/1/2005 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,212,2.0,4.0,,
6644852,1/1/2005 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,1023,10.0,28.0,,
9718598,1/1/2005 0:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,False,834,8.0,18.0,,
8590960,1/1/2005 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,215,2.0,3.0,,
