ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
12942214,1/4/2023 16:00,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,225,2.0,3.0,41.79599104,-87.63054249
12955434,1/4/2023 16:08,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,1933,19.0,44.0,41.93585417,-87.64912018
12943201,1/4/2023 18:00,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,225,2.0,3.0,41.79599104,-87.63054249
12942528,1/4/2023 19:45,BATTERY,SIMPLE,OTHER (SPECIFY),False,False,122,1.0,42.0,41.88016717,-87.63526489
12942574,1/4/2023 20:40,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,False,False,815,8.0,14.0,41.81264894,-87.72376471
12942637,1/4/2023 22:52,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,False,False,1913,19.0,46.0,41.96170947,-87.66014971
12943417,1/4/2023 23:55,THEFT,OVER $500,STREET,False,False,1421,14.0,1.0,41.91617047,-87.70042332
12942642,1/5/2023 0:00,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True,223,2.0,4.0,41.80274924,-87.61005075
12944910,1/5/2023 0:01,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,511,5.0,9.0,41.72184048,-87.61727759
12942772,1/5/2023 7:50,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,511,5.0,21.0,41.71703458,-87.63096384
12997806,1/5/2023 8:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1215,12.0,1.0,,
12942960,1/5/2023 8:05,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,SMALL RETAIL STORE,False,False,2521,25.0,31.0,41.92425058,-87.74554504
12945321,1/5/2023 12:00,THEFT,FROM BUILDING,APARTMENT,False,False,424,4.0,10.0,,
12951466,1/5/2023 14:19,THEFT,FROM BUILDING,RESIDENCE,False,False,133,1.0,4.0,,
12943545,1/5/2023 17:41,BATTERY,"AGG. PROTECTED EMPLOYEE - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE - GARAGE,True,False,1834,18.0,42.0,41.88899385,-87.62693483
13021883,1/6/2023 0:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,False,False,2531,25.0,29.0,41.90792309,-87.77313364
12945304,1/6/2023 2:00,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1633,16.0,36.0,,
13082628,1/6/2023 6:20,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,632,6.0,8.0,,
12943866,1/6/2023 8:56,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,231,2.0,3.0,41.7980119,-87.61606353
13026723,1/6/2023 15:15,THEFT,$500 AND UNDER,APARTMENT,False,False,1934,19.0,44.0,,
12947144,1/6/2023 16:00,THEFT,OVER $500,STREET,False,False,2511,25.0,36.0,41.93498207,-87.79805029
12944924,1/6/2023 20:00,THEFT,OVER $500,STREET,False,False,712,7.0,16.0,41.78092511,-87.6496771
12945227,1/6/2023 20:40,BATTERY,DOMESTIC BATTERY SIMPLE,CHA HALLWAY / STAIRWELL / ELEVATOR,False,True,1223,12.0,27.0,41.88418003,-87.68404842
12944745,1/6/2023 22:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1133,11.0,24.0,41.87323739,-87.71564768
12944568,1/6/2023 22:16,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,1834,18.0,42.0,41.88899385,-87.62693483
12944911,1/6/2023 22:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1214,12.0,27.0,41.89214641,-87.64904695
12945297,1/7/2023 0:00,THEFT,POCKET-PICKING,BAR OR TAVERN,False,False,1831,18.0,42.0,,
12950246,1/7/2023 0:00,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,False,False,322,3.0,6.0,41.76735205,-87.62391241
12948259,1/7/2023 0:01,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),False,False,2024,20.0,46.0,,
12945306,1/7/2023 1:00,THEFT,OVER $500,ALLEY,False,False,1822,18.0,27.0,,
12947287,1/7/2023 1:30,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1831,18.0,42.0,,
12944992,1/7/2023 9:45,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,2212,22.0,19.0,41.69101402,-87.66757819
12960582,1/7/2023 10:30,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,False,False,2022,20.0,48.0,,
12945059,1/7/2023 11:00,ASSAULT,SIMPLE,APARTMENT,False,True,333,3.0,5.0,41.76310164,-87.5725226
12949398,1/7/2023 12:15,THEFT,FROM BUILDING,RESTAURANT,False,False,124,1.0,25.0,,
12945326,1/7/2023 12:30,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,114,1.0,42.0,,
12945307,1/7/2023 13:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1215,12.0,27.0,,
12945302,1/7/2023 14:55,THEFT,OVER $500,ALLEY,False,False,1923,19.0,44.0,41.94709983,-87.66211567
12945242,1/7/2023 15:25,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,False,True,1011,10.0,24.0,41.86162732,-87.73604559
12952330,1/7/2023 15:58,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,2013,20.0,48.0,41.98604381,-87.66322215
12945090,1/7/2023 16:00,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1434,14.0,2.0,41.91120189,-87.67382212
12949412,1/7/2023 20:40,THEFT,$500 AND UNDER,STREET,False,False,1213,12.0,27.0,,
12947279,1/7/2023 21:00,THEFT,POCKET-PICKING,LAKEFRONT / WATERFRONT / RIVERBANK,False,False,1834,18.0,42.0,41.88899385,-87.62693483
12949692,1/7/2023 21:40,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,311,3.0,20.0,41.78120331,-87.61564959
12945584,1/8/2023 1:43,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,False,False,1733,17.0,33.0,41.94892285,-87.70543705
12945752,1/8/2023 5:30,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,922,9.0,14.0,41.81290134,-87.70290463
12946879,1/8/2023 14:50,ASSAULT,SIMPLE,SIDEWALK,False,True,531,5.0,9.0,41.68807303,-87.62148905
12946210,1/8/2023 16:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,813,8.0,13.0,41.78125144,-87.72893854
12946537,1/8/2023 17:00,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,1023,10.0,28.0,41.86597499,-87.69339251
12946526,1/8/2023 17:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2022,20.0,48.0,41.98834122,-87.65676102
12950216,1/8/2023 19:30,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1833,18.0,2.0,41.89876792,-87.62411633
12946265,1/8/2023 19:30,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,True,722,7.0,20.0,41.77440602,-87.63574935
12946310,1/8/2023 20:00,BATTERY,SIMPLE,STREET,True,False,1723,17.0,35.0,41.9655742,-87.72212158
12946417,1/8/2023 20:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2023,20.0,48.0,41.982388,-87.6565813
12946728,1/8/2023 23:00,THEFT,$500 AND UNDER,STREET,False,False,1031,10.0,22.0,41.84347022,-87.73426205
12946406,1/9/2023 0:22,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2022,20.0,48.0,41.98639249,-87.65670073
12946518,1/9/2023 3:56,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,False,True,311,3.0,20.0,41.78308072,-87.62054916
12949123,1/9/2023 4:00,THEFT,$500 AND UNDER,STREET,False,False,2411,24.0,50.0,42.0065802,-87.70324044
12949404,1/9/2023 4:23,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1913,19.0,46.0,,
12951995,1/9/2023 6:00,THEFT,OVER $500,APARTMENT,False,True,1511,15.0,29.0,41.89572102,-87.76785568
13038974,1/9/2023 11:55,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,311,3.0,20.0,,
12946934,1/9/2023 12:37,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,False,623,6.0,17.0,41.74858917,-87.62924944
12983134,1/9/2023 12:51,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,823,8.0,16.0,41.78445925,-87.70135001
12947163,1/9/2023 15:00,BATTERY,SIMPLE,APARTMENT,False,False,421,4.0,7.0,41.75447626,-87.56386167
12947156,1/9/2023 16:00,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,411,4.0,8.0,41.757631,-87.58570825
12949410,1/9/2023 18:05,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1834,18.0,42.0,,
12947213,1/9/2023 18:30,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,215,2.0,3.0,41.81427349,-87.62296933
12960585,1/9/2023 18:33,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,False,False,2422,24.0,49.0,,
12947448,1/9/2023 19:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,2233,22.0,34.0,41.70443839,-87.63551008
12947399,1/9/2023 20:50,THEFT,DELIVERY CONTAINER THEFT,STREET,False,False,1833,18.0,2.0,41.89876792,-87.62411633
12947357,1/9/2023 21:00,THEFT,RETAIL THEFT,SMALL RETAIL STORE,True,False,2422,24.0,49.0,42.01939924,-87.67504949
12950415,1/10/2023 0:00,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,False,False,1234,12.0,25.0,41.85521272,-87.680836
12947586,1/10/2023 5:00,THEFT,OVER $500,STREET,False,False,1212,12.0,26.0,41.89981124,-87.68941095
12949402,1/10/2023 8:04,THEFT,FROM BUILDING,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,False,False,1651,16.0,41.0,,
12949389,1/10/2023 9:23,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,False,611,6.0,17.0,,
12949388,1/10/2023 10:00,CRIMINAL DAMAGE,TO VEHICLE,CTA BUS STOP,False,False,1935,19.0,43.0,,
12947956,1/10/2023 13:16,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,1123,11.0,28.0,41.8866985,-87.71117717
12950501,1/10/2023 14:00,THEFT,$500 AND UNDER,APARTMENT,False,False,1235,12.0,25.0,,
12948064,1/10/2023 17:23,ASSAULT,SIMPLE,APARTMENT,False,True,424,4.0,10.0,41.72831971,-87.54514974
12948327,1/10/2023 19:00,ASSAULT,SIMPLE,STREET,False,True,212,2.0,4.0,41.82570589,-87.61367419
12953955,1/10/2023 20:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,False,False,1633,16.0,38.0,41.94931307,-87.78481788
12948842,1/11/2023 0:00,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,533,5.0,9.0,41.65435363,-87.60402901
12948568,1/11/2023 5:05,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,ALLEY,False,False,412,4.0,8.0,41.73823711,-87.57816924
12949381,1/11/2023 11:30,THEFT,POCKET-PICKING,RESTAURANT,False,False,122,1.0,42.0,,
12951495,1/11/2023 16:30,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,324,3.0,5.0,41.76172081,-87.59816687
12956662,1/11/2023 17:00,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,False,False,1814,18.0,2.0,,
12954476,1/11/2023 17:25,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,112,1.0,42.0,,
12949694,1/11/2023 23:30,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,False,False,423,4.0,10.0,41.73860186,-87.55388725
12967858,1/12/2023 0:00,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",COMMERCIAL / BUSINESS OFFICE,False,False,511,5.0,9.0,41.72184048,-87.61727759
12954498,1/12/2023 9:10,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),False,False,123,1.0,4.0,,
12950562,1/12/2023 10:45,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",STREET,False,True,513,5.0,9.0,41.69940379,-87.60562208
12954509,1/12/2023 14:00,THEFT,OVER $500,APARTMENT,False,False,1211,12.0,26.0,,
12950298,1/12/2023 14:35,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,ALLEY,False,False,1914,19.0,46.0,41.96824256,-87.6511712
12957157,1/12/2023 15:15,BATTERY,SIMPLE,ALLEY,False,False,823,8.0,23.0,41.78251636,-87.70939511
12969340,1/12/2023 16:31,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,2514,25.0,30.0,,
12950418,1/12/2023 18:07,ASSAULT,AGGRAVATED - HANDGUN,STREET,False,False,2521,25.0,31.0,41.93693127,-87.75248161
12950571,1/12/2023 19:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,631,6.0,8.0,41.74946777,-87.60423606
12952466,1/12/2023 20:55,THEFT,OVER $500,STREET,False,False,1224,12.0,27.0,,
12950670,1/12/2023 21:00,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,213,2.0,3.0,41.81971996,-87.62149304
12951402,1/13/2023 0:00,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,633,6.0,9.0,41.72807418,-87.61705451
12959216,1/13/2023 0:01,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,1132,11.0,24.0,41.86982669,-87.72394141
12952940,1/13/2023 4:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1524,15.0,37.0,41.89362301,-87.76534725
12951067,1/13/2023 10:00,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,2534,25.0,26.0,41.90978246,-87.73429269
12952052,1/13/2023 12:00,BATTERY,SIMPLE,SCHOOL - PUBLIC BUILDING,False,False,132,1.0,4.0,,
12952337,1/13/2023 12:55,THEFT,$500 AND UNDER,APARTMENT,False,False,821,8.0,14.0,41.81252454,-87.71130857
12951233,1/13/2023 13:09,ASSAULT,SIMPLE,APARTMENT,False,False,1912,19.0,47.0,41.96397789,-87.67607256
12952978,1/13/2023 18:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1921,19.0,47.0,41.95050046,-87.67932839
12951458,1/13/2023 19:00,THEFT,OVER $500,STREET,False,True,113,1.0,4.0,,
12951816,1/13/2023 20:51,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1432,14.0,32.0,41.92074371,-87.68105067
12952045,1/13/2023 21:00,THEFT,OVER $500,STREET,False,False,2011,20.0,40.0,41.98222622,-87.69542221
12953174,1/14/2023 0:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1634,16.0,45.0,41.9478163,-87.75822027
12992038,1/14/2023 0:00,THEFT,$500 AND UNDER,HOTEL / MOTEL,False,True,113,1.0,4.0,,
12952191,1/14/2023 1:00,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1223,12.0,27.0,41.88460451,-87.67809492
12958074,1/14/2023 5:35,THEFT,$500 AND UNDER,APARTMENT,False,False,2013,20.0,48.0,41.98694515,-87.66061955
12952153,1/14/2023 11:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,213,2.0,3.0,41.81971996,-87.62149304
12954468,1/14/2023 12:10,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER (SPECIFY),False,False,1612,16.0,41.0,,
12952218,1/14/2023 13:00,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,SIDEWALK,True,False,331,3.0,5.0,41.77345808,-87.57618353
12952339,1/14/2023 13:30,THEFT,$500 AND UNDER,OTHER (SPECIFY),False,False,1833,18.0,2.0,41.89876792,-87.62411633
12952357,1/14/2023 15:40,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,SIDEWALK,False,False,2432,24.0,49.0,41.99856947,-87.6606075
12953437,1/14/2023 17:50,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2521,25.0,31.0,41.92425058,-87.74554504
12953670,1/14/2023 23:17,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,False,True,814,8.0,14.0,41.79822032,-87.74604899
12954514,1/14/2023 23:45,THEFT,OVER $500,OTHER (SPECIFY),False,False,1235,12.0,25.0,,
12954499,1/15/2023 1:30,THEFT,POCKET-PICKING,OTHER (SPECIFY),False,False,1235,12.0,25.0,,
12956141,1/15/2023 7:15,THEFT,OVER $500,APARTMENT,False,False,1834,18.0,42.0,41.88899385,-87.62693483
12952992,1/15/2023 8:50,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2521,25.0,31.0,41.92425058,-87.74554504
12956067,1/15/2023 9:35,ROBBERY,ARMED - HANDGUN,STREET,False,False,1034,10.0,25.0,41.84799635,-87.6795697
12953900,1/15/2023 12:00,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,334,3.0,7.0,41.76090225,-87.55960283
12953069,1/15/2023 12:30,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,False,False,1833,18.0,2.0,41.89876792,-87.62411633
12953276,1/15/2023 12:38,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,714,7.0,15.0,41.78260167,-87.66550599
12957725,1/15/2023 13:15,THEFT,OVER $500,RESTAURANT,False,False,1831,18.0,42.0,,
12955588,1/15/2023 18:39,THEFT,FROM BUILDING,APARTMENT,False,False,1934,19.0,44.0,,
12953528,1/15/2023 21:40,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,False,False,223,2.0,3.0,41.80856148,-87.61264833
12953590,1/15/2023 22:30,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1231,12.0,28.0,41.8679937,-87.65915127
12958230,1/16/2023 0:00,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,811,8.0,13.0,41.7858735,-87.78889726
12954077,1/16/2023 8:30,THEFT,POCKET-PICKING,CTA PLATFORM,False,False,111,1.0,42.0,41.8857505,-87.62832936
12954087,1/16/2023 13:00,ASSAULT,SIMPLE,APARTMENT,False,False,1112,11.0,37.0,41.89983415,-87.7237774
12954303,1/16/2023 14:19,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),SIDEWALK,True,False,311,3.0,20.0,41.78120331,-87.61564959
13045453,1/16/2023 17:30,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,False,False,1913,19.0,46.0,,
12956071,1/16/2023 18:30,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,True,False,832,8.0,16.0,41.77501552,-87.68353021
12954834,1/16/2023 22:00,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,212,2.0,3.0,41.8302026,-87.62053299
12954615,1/16/2023 22:20,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,912,9.0,12.0,41.83444635,-87.67785085
12954938,1/16/2023 22:45,ASSAULT,SIMPLE,APARTMENT,False,False,1225,12.0,27.0,41.87716145,-87.67653695
12954761,1/16/2023 22:47,BATTERY,SIMPLE,APARTMENT,False,True,522,5.0,9.0,41.6773388,-87.62263596
12955202,1/17/2023 0:00,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,True,334,3.0,7.0,41.76343502,-87.56529778
12957120,1/17/2023 7:30,THEFT,$500 AND UNDER,STREET,False,False,613,6.0,21.0,41.74261069,-87.6559538
12954855,1/17/2023 8:30,DECEPTIVE PRACTICE,BOGUS CHECK,APARTMENT,False,False,2023,20.0,48.0,41.97902583,-87.65788941
12991004,1/17/2023 13:40,THEFT,$500 AND UNDER,APARTMENT,False,False,1422,14.0,26.0,,
12955668,1/17/2023 16:38,ASSAULT,SIMPLE,RESTAURANT,False,False,1411,14.0,33.0,41.93246736,-87.68790656
12955467,1/17/2023 17:12,CRIMINAL TRESPASS,TO LAND,RESTAURANT,False,False,832,8.0,16.0,41.77501552,-87.68353021
12956125,1/17/2023 18:00,THEFT,OVER $500,APARTMENT,False,False,511,5.0,8.0,41.7118834,-87.59847499
12955905,1/17/2023 20:00,THEFT,$500 AND UNDER,STREET,False,False,1921,19.0,47.0,41.94559202,-87.68094447
12956549,1/17/2023 21:00,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,False,False,411,4.0,8.0,41.74882427,-87.59543
