ID,Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Latitude,Longitude
2559321,1/1/2003 0:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,1811,18.0,32.0,,
8009329,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,APARTMENT,False,True,915,9.0,16.0,,
6275821,1/1/2003 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2521,25.0,31.0,,
7230232,1/1/2003 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,2233,22.0,34.0,,
7313209,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,True,1032,10.0,22.0,,
11333078,1/1/2003 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,2532,25.0,37.0,,
7402705,1/1/2003 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,834,8.0,18.0,,
7291997,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,False,True,1222,12.0,25.0,,
6128633,1/1/2003 0:00,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,731,7.0,6.0,,
7170030,1/1/2003 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,1422,14.0,26.0,,
7624888,1/1/2003 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,True,414,4.0,8.0,,
7384012,1/1/2003 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,False,False,1034,10.0,25.0,,
8662480,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,False,False,322,3.0,6.0,,
6977860,1/1/2003 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,1013,10.0,22.0,,
11555196,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,True,2531,25.0,29.0,,
6762290,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,APARTMENT,False,False,432,4.0,10.0,,
7044835,1/1/2003 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,2524,25.0,35.0,,
7109514,1/1/2003 0:00,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,False,2513,25.0,29.0,,
8834760,1/1/2003 0:00,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,False,False,2535,25.0,26.0,,
12659668,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,RESIDENCE,False,False,2511,25.0,36.0,,
6104185,1/1/2003 0:00,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,False,False,1311,12.0,26.0,,
9642148,1/1/2003 0:00,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,False,False,2023,20.0,48.0,,
6652637,1/1/2003 0:00,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1724,17.0,33.0,,
